단지키,구,법정동,대표단지명,대표대지위치,주소수,원건물명수,시설행수,분류시설행수,주소예시,원건물명예시,법정동_key,행정동_매칭키,상권_매칭방식,인구_직접매칭,세대_직접매칭,상권_법정동매칭,상권_행정동매칭,운동시설,교육_학습시설,키즈시설,시니어시설,공유오피스_회의,라운지_휴게,사우나_목욕,편의_생활시설,ratio_child,ratio_elderly,ratio_young,ratio_middle,ratio_1person,ratio_2person,ratio_3plus,카페수,헬스장수,학원수,기타학원수,독서실수,사우나수,원본상권총업소수,카페수_log,헬스장수_log,학원수_log,기타학원수_log,독서실수_log,사우나수_log,원본상권총업소수_log,구_단지수,생활권역_동남권,생활권역_동북권,생활권역_서남권,생활권역_서북권
강남구 | 개포동 | 개포 더샵 트리에,강남구,개포동,개포 더샵 트리에,서울특별시 강남구 개포동 651-1번지,1,1,3,3,서울특별시 강남구 개포동 651-1번지,개포 더샵 트리에,개포동,개포,법정동직접,1,1,1,1,0,0,1,1,1,0,0,0,0.07478574954009064,0.2450419527078566,0.10421994884910486,0.30978821734643514,0.26660649310354556,0.24415423236397485,0.4892392745324796,66,19,112,188,18,1,2697,4.204692619390966,2.995732273553991,4.727387818712341,5.241747015059643,2.9444389791664403,0.6931471805599453,7.900266036767701,66,1,0,0,0
강남구 | 개포동 | 개포자이 프레지던스,강남구,개포동,개포자이 프레지던스,서울특별시 강남구 개포동 189번지,1,1,14,10,서울특별시 강남구 개포동 189번지,개포자이 프레지던스,개포동,개포,법정동직접,1,1,1,1,1,1,1,1,0,1,1,0,0.07478574954009064,0.2450419527078566,0.10421994884910486,0.30978821734643514,0.26660649310354556,0.24415423236397485,0.4892392745324796,66,19,112,188,18,1,2697,4.204692619390966,2.995732273553991,4.727387818712341,5.241747015059643,2.9444389791664403,0.6931471805599453,7.900266036767701,66,1,0,0,0
강남구 | 개포동 | 경로당,강남구,개포동,경로당,서울특별시 강남구 개포동 12번지,1,1,1,1,서울특별시 강남구 개포동 12번지,경로당,개포동,개포,법정동직접,1,1,1,1,0,0,0,1,0,0,0,0,0.07478574954009064,0.2450419527078566,0.10421994884910486,0.30978821734643514,0.26660649310354556,0.24415423236397485,0.4892392745324796,66,19,112,188,18,1,2697,4.204692619390966,2.995732273553991,4.727387818712341,5.241747015059643,2.9444389791664403,0.6931471805599453,7.900266036767701,66,1,0,0,0
강남구 | 개포동 | 디에이치아너힐즈,강남구,개포동,디에이치아너힐즈,서울특별시 강남구 개포동 138번지,1,2,2,2,서울특별시 강남구 개포동 138번지,디에이치아너힐즈 / 개포주공3단지주택재건축정비사업,개포동,개포,법정동직접,1,1,1,1,0,0,1,0,0,0,0,0,0.07478574954009064,0.2450419527078566,0.10421994884910486,0.30978821734643514,0.26660649310354556,0.24415423236397485,0.4892392745324796,66,19,112,188,18,1,2697,4.204692619390966,2.995732273553991,4.727387818712341,5.241747015059643,2.9444389791664403,0.6931471805599453,7.900266036767701,66,1,0,0,0
강남구 | 개포동 | 서울특별시 강남구 개포동 12번지,강남구,개포동,,서울특별시 강남구 개포동 12번지,1,1,2,2,서울특별시 강남구 개포동 12번지,,개포동,개포,법정동직접,1,1,1,1,1,0,1,0,0,0,1,0,0.07478574954009064,0.2450419527078566,0.10421994884910486,0.30978821734643514,0.26660649310354556,0.24415423236397485,0.4892392745324796,66,19,112,188,18,1,2697,4.204692619390966,2.995732273553991,4.727387818712341,5.241747015059643,2.9444389791664403,0.6931471805599453,7.900266036767701,66,1,0,0,0
강남구 | 개포동 | 서울특별시 강남구 개포동 185번지,강남구,개포동,,서울특별시 강남구 개포동 185번지,1,1,1,1,서울특별시 강남구 개포동 185번지,,개포동,개포,법정동직접,1,1,1,1,1,0,0,0,0,0,1,0,0.07478574954009064,0.2450419527078566,0.10421994884910486,0.30978821734643514,0.26660649310354556,0.24415423236397485,0.4892392745324796,66,19,112,188,18,1,2697,4.204692619390966,2.995732273553991,4.727387818712341,5.241747015059643,2.9444389791664403,0.6931471805599453,7.900266036767701,66,1,0,0,0
강남구 | 논현동 | K HILLS,강남구,논현동,K HILLS,서울특별시 강남구 논현동 130-9번지,1,1,2,2,서울특별시 강남구 논현동 130-9번지,K HILLS,논현동,논현,법정동직접,1,1,1,1,1,0,0,0,0,1,1,0,0.03252622881037634,0.21245962390765455,0.16350752435085258,0.401181861431755,0.6405965068687441,0.17510232200024314,0.1843011711310127,341,78,60,350,9,6,10442,5.834810737062605,4.3694478524670215,4.110873864173311,5.860786223465865,2.302585092994046,1.9459101490553132,9.253687176479549,66,1,0,0,0
강남구 | 논현동 | 논현 아이파크,강남구,논현동,논현 아이파크,서울특별시 강남구 논현동 225-6번지,1,1,1,0,서울특별시 강남구 논현동 225-6번지,논현 아이파크,논현동,논현,법정동직접,1,1,1,1,0,0,0,0,0,0,0,0,0.03252622881037634,0.21245962390765455,0.16350752435085258,0.401181861431755,0.6405965068687441,0.17510232200024314,0.1843011711310127,341,78,60,350,9,6,10442,5.834810737062605,4.3694478524670215,4.110873864173311,5.860786223465865,2.302585092994046,1.9459101490553132,9.253687176479549,66,1,0,0,0
강남구 | 논현동 | 논현동 114 주상복합,강남구,논현동,논현동 114 주상복합,서울특별시 강남구 논현동 114번지,1,1,1,0,서울특별시 강남구 논현동 114번지,논현동 114 주상복합,논현동,논현,법정동직접,1,1,1,1,0,0,0,0,0,0,0,0,0.03252622881037634,0.21245962390765455,0.16350752435085258,0.401181861431755,0.6405965068687441,0.17510232200024314,0.1843011711310127,341,78,60,350,9,6,10442,5.834810737062605,4.3694478524670215,4.110873864173311,5.860786223465865,2.302585092994046,1.9459101490553132,9.253687176479549,66,1,0,0,0
강남구 | 논현동 | 브라이튼 N40,강남구,논현동,브라이튼 N40,서울특별시 강남구 논현동 40번지,1,1,1,0,서울특별시 강남구 논현동 40번지,브라이튼 N40,논현동,논현,법정동직접,1,1,1,1,0,0,0,0,0,0,0,0,0.03252622881037634,0.21245962390765455,0.16350752435085258,0.401181861431755,0.6405965068687441,0.17510232200024314,0.1843011711310127,341,78,60,350,9,6,10442,5.834810737062605,4.3694478524670215,4.110873864173311,5.860786223465865,2.302585092994046,1.9459101490553132,9.253687176479549,66,1,0,0,0
강남구 | 논현동 | 서울특별시 강남구 논현동 107-44번지,강남구,논현동,,서울특별시 강남구 논현동 107-44번지,1,1,1,0,서울특별시 강남구 논현동 107-44번지,,논현동,논현,법정동직접,1,1,1,1,0,0,0,0,0,0,0,0,0.03252622881037634,0.21245962390765455,0.16350752435085258,0.401181861431755,0.6405965068687441,0.17510232200024314,0.1843011711310127,341,78,60,350,9,6,10442,5.834810737062605,4.3694478524670215,4.110873864173311,5.860786223465865,2.302585092994046,1.9459101490553132,9.253687176479549,66,1,0,0,0
