건물명,대지위치,운동시설,교육_학습시설,키즈시설,시니어시설,공유오피스_회의,라운지_휴게,사우나_목욕,편의_생활시설,구,동,총인구수,ratio_child,ratio_elderly,ratio_young,ratio_middle,전체세대,ratio_1person,ratio_2person,ratio_3plus
.,서울특별시 중구 입정동 2-4번지,0,0,1,1,0,0,0,0,중구,입정동,1557.0,0.06615285806037251,0.07450224791265253,0.11881824020552344,0.6120745022479126,931.0,0.5499462943071965,0.29108485499462944,0.158968850698174
101,서울특별시 관악구 신림동 513-17번지,0,0,0,0,0,0,0,0,관악구,신림동,238645.0,0.02680131576190576,0.2587567307087934,0.21520668775796686,0.31297533994007837,148459.0,0.6514795330697364,0.17693774038623458,0.17158272654402898
1519-3 공동주택,서울특별시 관악구 봉천동 1519-3번지,0,0,0,0,1,0,0,1,관악구,봉천동,218346.0,0.03638720196385553,0.24119974719023934,0.22233061288047412,0.31205975836516353,127594.0,0.6105381130774175,0.1829474740191545,0.20651441290342806
CONEST,서울특별시 서초구 서초동 1365-8번지,0,0,0,0,0,0,0,0,서초구,서초동,104990.0,0.06323459377083532,0.2129345651966854,0.13596533003143157,0.32726926373940374,46673.0,0.4094658582049579,0.1912883251558717,0.3992458166391704
DMC SK VIEW,서울특별시 은평구 수색동 30-2번지,1,1,1,1,0,0,1,0,은평구,수색동,21048.0,0.08570885594830863,0.2329912580767769,0.1217692892436336,0.3198878753325732,8522.0,0.27129781741375264,0.2764609246655715,0.4522412579206759
DMC 래미안 e편한세상,서울특별시 서대문구 북가좌동 144번지,1,1,1,1,0,1,1,0,서대문구,북가좌동,47294.0,0.045143147122256526,0.299995771133759,0.1244132448090667,0.27680043980208907,21256.0,0.37029544599172,0.2560218291305984,0.3736827248776816
DMC갤러리아,서울특별시 서대문구 북가좌동 330-6번지,0,0,0,0,1,0,0,0,서대문구,북가좌동,47294.0,0.045143147122256526,0.299995771133759,0.1244132448090667,0.27680043980208907,21256.0,0.37029544599172,0.2560218291305984,0.3736827248776816
DMC센트럴아이파크,서울특별시 서대문구 남가좌동 369-10번지,1,1,1,1,0,1,1,0,서대문구,남가좌동,45212.0,0.08844996903476952,0.22996107228169513,0.12012297620100858,0.3128151818101389,19448.0,0.35762032085561496,0.2162690250925545,0.4261106540518305
H House 대림 뉴스테이,서울특별시 영등포구 대림동 994-1번지,0,0,0,0,1,0,0,0,영등포구,대림동,45956.0,0.03899382017582035,0.3420880842545043,0.1303855862128993,0.2680825137087649,23976.0,0.482982982982983,0.2539205872539206,0.26309642976309644
K HILLS,서울특별시 강남구 논현동 130-9번지,1,0,0,0,0,1,1,0,강남구,논현동,39937.0,0.03252622881037634,0.21223426897363348,0.16350752435085258,0.401181861431755,24677.0,0.6405965068687441,0.17510232200024314,0.1843011711310127
LH도시형생활주택,서울특별시 강남구 세곡동 블록,0,0,1,0,0,0,0,0,강남구,세곡동,14022.0,0.0666096134645557,0.2603052346312937,0.10790186849236913,0.29368135786621025,5506.0,0.25590265165274245,0.27987649836541956,0.464220849981838
LH아파트,서울특별시 강남구 세곡동 블록,1,1,1,1,0,0,1,0,강남구,세곡동,14022.0,0.0666096134645557,0.2603052346312937,0.10790186849236913,0.29368135786621025,5506.0,0.25590265165274245,0.27987649836541956,0.464220849981838
Mapo The Classy,서울특별시 마포구 아현동 662번지,0,1,1,1,0,0,0,0,마포구,아현동,28131.0,0.08446198144395863,0.22949770715580675,0.12217837972343677,0.34552628772528526,12786.0,0.3768966056624433,0.24722352573126857,0.37587986860628814
NINE ONE Hannam,서울특별시 용산구 한남동 680-1번지,0,1,1,1,0,0,0,0,용산구,한남동,13545.0,0.06452565522332965,0.2548541897379107,0.10933923957179771,0.3503137689184201,7160.0,0.5001396648044693,0.22136871508379888,0.27849162011173184
SH 아파트,서울특별시 강서구 마곡동 블록,0,1,1,1,0,0,0,0,강서구,마곡동,60660.0,0.08072865150016485,0.1609297725024728,0.15934718100890208,0.3641608968018464,28873.0,0.48578256502614897,0.1676652928341357,0.3465521421397153
SH도시형생활주택(1),서울특별시 구로구 천왕동 블록,0,0,0,0,0,0,0,0,구로구,천왕동,15753.0,0.050276137878499334,0.259379165873167,0.10670983304767345,0.2740430394210627,6287.0,0.28344202322252265,0.27612533799904565,0.4404326387784317
SH아파트 6BL,서울특별시 강서구 마곡동 블록,1,0,1,1,0,0,1,0,강서구,마곡동,60660.0,0.08072865150016485,0.1609297725024728,0.15934718100890208,0.3641608968018464,28873.0,0.48578256502614897,0.1676652928341357,0.3465521421397153
SH아파트 8BL,서울특별시 강서구 마곡동 블록,1,0,1,1,0,0,1,0,강서구,마곡동,60660.0,0.08072865150016485,0.1609297725024728,0.15934718100890208,0.3641608968018464,28873.0,0.48578256502614897,0.1676652928341357,0.3465521421397153
SH아파트(10-1BL),서울특별시 강서구 마곡동 블록,1,1,1,1,0,0,1,0,강서구,마곡동,60660.0,0.08072865150016485,0.1609297725024728,0.15934718100890208,0.3641608968018464,28873.0,0.48578256502614897,0.1676652928341357,0.3465521421397153
SH아파트(11BL),서울특별시 강서구 마곡동 블록,0,1,1,1,0,0,0,0,강서구,마곡동,60660.0,0.08072865150016485,0.1609297725024728,0.15934718100890208,0.3641608968018464,28873.0,0.48578256502614897,0.1676652928341357,0.3465521421397153
SUITE HILL,서울특별시 서초구 서초동 1622-9번지,0,0,0,0,0,0,0,0,서초구,서초동,104990.0,0.06323459377083532,0.2129345651966854,0.13596533003143157,0.32726926373940374,46673.0,0.4094658582049579,0.1912883251558717,0.3992458166391704
TRIZIUM 980,서울특별시 강서구 화곡동 980-26번지,0,0,0,0,1,0,0,0,강서구,화곡동,211821.0,0.043914437189891464,0.27118652069435983,0.14740748084467545,0.3204167669872203,107821.0,0.47628013095779115,0.24046336056983333,0.2832565084723755
dk182,서울특별시 강서구 화곡동 1128-5번지,0,0,0,0,0,1,0,0,강서구,화곡동,211821.0,0.043914437189891464,0.27118652069435983,0.14740748084467545,0.3204167669872203,107821.0,0.47628013095779115,0.24046336056983333,0.2832565084723755
e편한세상 광진 그랜드파크,서울특별시 광진구 구의동 680번지,0,1,1,1,0,0,0,0,광진구,구의동,75353.0,0.04624898809602803,0.25034172494791185,0.15472509389141773,0.311971653417913,36702.0,0.4548525965887418,0.22197700397798484,0.3231703994332734
e편한세상 마포3차,서울특별시 마포구 용강동 91-1번지,0,0,1,1,0,1,0,0,마포구,용강동,7339.0,0.08924921651451151,0.19702956806104374,0.0900667665894536,0.34977517372939093,3091.0,0.3241669362665804,0.21352313167259787,0.4623099320608217
e편한세상 보문,서울특별시 성북구 보문동3가 225번지,0,1,1,1,0,0,0,0,성북구,보문동3가,,0.054664959485481245,0.2836057403285708,0.13338043750549827,0.27627748755269893,,0.38514984763129595,0.24163829778882556,0.3732118545798785
e편한세상 서대문,서울특별시 서대문구 홍은동 104-4번지,0,1,1,1,0,0,0,0,서대문구,홍은동,49810.0,0.05189720939570367,0.2996988556514756,0.12917084922706284,0.2758482232483437,22693.0,0.3833340677742035,0.2501211827435773,0.3665447494822192
e편한세상 신촌,서울특별시 서대문구 북아현동 149-1번지,1,1,1,1,0,0,1,0,서대문구,북아현동,27110.0,0.07211361121357433,0.2481741054961269,0.1267797860568056,0.31814828476576906,12552.0,0.40009560229445507,0.23526131293817718,0.36464308476736773
e편한세상 염창,서울특별시 강서구 염창동 277-24번지,0,1,1,0,0,0,0,0,강서구,염창동,40921.0,0.07927470003176854,0.18777644730089685,0.12345739351433249,0.3529239265902593,16650.0,0.3067867867867868,0.21435435435435435,0.47885885885885887
e편한세상 영등포 아델포레,서울특별시 영등포구 대림동 917-49번지,1,1,1,1,0,0,1,0,영등포구,대림동,45956.0,0.03899382017582035,0.3420880842545043,0.1303855862128993,0.2680825137087649,23976.0,0.482982982982983,0.2539205872539206,0.26309642976309644
e편한세상 화랑대,서울특별시 중랑구 묵동 81-17번지,0,1,1,1,0,0,0,0,중랑구,묵동,51033.0,0.04538239962377285,0.29439774263711715,0.13211059510512804,0.28605020280994653,24094.0,0.4155806424836059,0.2518884369552586,0.33253092056113553
