건물명,대지위치,운동시설,교육_학습시설,키즈시설,시니어시설,공유오피스_회의,라운지_휴게,사우나_목욕,편의_생활시설,구,동,총인구수,ratio_child,ratio_elderly,ratio_young,ratio_middle,전체세대,ratio_1person,ratio_2person,ratio_3plus,카페수,헬스장수,학원수,기타학원수,독서실수,사우나수
.,서울특별시 중구 입정동 2-4번지,0,0,1,1,0,0,0,0,중구,입정동,1557.0,0.0661528580603725,0.0745022479126525,0.1188182402055234,0.6120745022479126,931.0,0.5499462943071965,0.2910848549946294,0.158968850698174,77.3,15.9,5.3,20.0,2.2,6.1
101,서울특별시 관악구 신림동 513-17번지,0,0,0,0,0,0,0,0,관악구,신림동,238645.0,0.0268013157619057,0.2587567307087934,0.2152066877579668,0.3129753399400783,148459.0,0.6514795330697364,0.1769377403862345,0.1715827265440289,57.0,29.0,18.0,39.0,16.0,9.0
1519-3 공동주택,서울특별시 관악구 봉천동 1519-3번지,0,0,0,0,1,0,0,1,관악구,봉천동,218346.0,0.0363872019638555,0.2411997471902393,0.2223306128804741,0.3120597583651635,127594.0,0.6105381130774175,0.1829474740191545,0.206514412903428,57.0,29.0,18.0,39.0,16.0,9.0
CONEST,서울특별시 서초구 서초동 1365-8번지,0,0,0,0,0,0,0,0,서초구,서초동,104990.0,0.0632345937708353,0.2129345651966854,0.1359653300314315,0.3272692637394037,46673.0,0.4094658582049579,0.1912883251558717,0.3992458166391704,488.0,243.0,352.0,763.0,48.0,53.0
DMC SK VIEW,서울특별시 은평구 수색동 30-2번지,1,1,1,1,0,0,1,0,은평구,수색동,21048.0,0.0857088559483086,0.2329912580767769,0.1217692892436336,0.3198878753325732,8522.0,0.2712978174137526,0.2764609246655715,0.4522412579206759,11.0,6.0,7.0,10.0,2.0,0.0
DMC 래미안 e편한세상,서울특별시 서대문구 북가좌동 144번지,1,1,1,1,0,1,1,0,서대문구,북가좌동,47294.0,0.0451431471222565,0.299995771133759,0.1244132448090667,0.276800439802089,21256.0,0.37029544599172,0.2560218291305984,0.3736827248776816,36.0,23.0,90.0,87.0,9.0,4.0
DMC갤러리아,서울특별시 서대문구 북가좌동 330-6번지,0,0,0,0,1,0,0,0,서대문구,북가좌동,47294.0,0.0451431471222565,0.299995771133759,0.1244132448090667,0.276800439802089,21256.0,0.37029544599172,0.2560218291305984,0.3736827248776816,36.0,23.0,90.0,87.0,9.0,4.0
DMC센트럴아이파크,서울특별시 서대문구 남가좌동 369-10번지,1,1,1,1,0,1,1,0,서대문구,남가좌동,45212.0,0.0884499690347695,0.2299610722816951,0.1201229762010085,0.3128151818101389,19448.0,0.3576203208556149,0.2162690250925545,0.4261106540518305,81.0,28.0,81.0,74.0,9.0,3.0
H House 대림 뉴스테이,서울특별시 영등포구 대림동 994-1번지,0,0,0,0,1,0,0,0,영등포구,대림동,45956.0,0.0389938201758203,0.3420880842545043,0.1303855862128993,0.2680825137087649,23976.0,0.482982982982983,0.2539205872539206,0.2630964297630964,77.0,39.0,31.0,88.0,5.0,46.0
K HILLS,서울특별시 강남구 논현동 130-9번지,1,0,0,0,0,1,1,0,강남구,논현동,39937.0,0.0325262288103763,0.2122342689736334,0.1635075243508525,0.401181861431755,24677.0,0.6405965068687441,0.1751023220002431,0.1843011711310127,341.0,144.0,60.0,350.0,9.0,43.0
LH도시형생활주택,서울특별시 강남구 세곡동 블록,0,0,1,0,0,0,0,0,강남구,세곡동,14022.0,0.0666096134645557,0.2603052346312937,0.1079018684923691,0.2936813578662102,5506.0,0.2559026516527424,0.2798764983654195,0.464220849981838,43.0,17.0,65.0,74.0,9.0,3.0
LH아파트,서울특별시 강남구 세곡동 블록,1,1,1,1,0,0,1,0,강남구,세곡동,14022.0,0.0666096134645557,0.2603052346312937,0.1079018684923691,0.2936813578662102,5506.0,0.2559026516527424,0.2798764983654195,0.464220849981838,43.0,17.0,65.0,74.0,9.0,3.0
Mapo The Classy,서울특별시 마포구 아현동 662번지,0,1,1,1,0,0,0,0,마포구,아현동,28131.0,0.0844619814439586,0.2294977071558067,0.1221783797234367,0.3455262877252852,12786.0,0.3768966056624433,0.2472235257312685,0.3758798686062881,51.0,23.0,49.0,61.0,2.0,5.0
NINE ONE Hannam,서울특별시 용산구 한남동 680-1번지,0,1,1,1,0,0,0,0,용산구,한남동,13545.0,0.0645256552233296,0.2548541897379107,0.1093392395717977,0.3503137689184201,7160.0,0.5001396648044693,0.2213687150837988,0.2784916201117318,99.0,37.0,14.0,94.0,2.0,6.0
SH 아파트,서울특별시 강서구 마곡동 블록,0,1,1,1,0,0,0,0,강서구,마곡동,60660.0,0.0807286515001648,0.1609297725024728,0.159347181008902,0.3641608968018464,28873.0,0.4857825650261489,0.1676652928341357,0.3465521421397153,133.2,69.6,106.4,152.0,13.7,20.7
