건물명,대지위치,운동시설,교육_학습시설,키즈시설,시니어시설,공유오피스_회의,라운지_휴게,사우나_목욕,편의_생활시설,기타미분류
.,서울특별시 중구 입정동 2-4번지,0,0,1,1,0,0,0,0,1
101,서울특별시 관악구 신림동 513-17번지,0,0,0,0,0,0,0,0,1
1519-3 공동주택,서울특별시 관악구 봉천동 1519-3번지,0,0,0,0,1,0,0,1,0
CONEST,서울특별시 서초구 서초동 1365-8번지,0,0,0,0,0,0,0,0,1
DMC SK VIEW,서울특별시 은평구 수색동 30-2번지,1,1,1,1,0,0,1,0,1
DMC 래미안 e편한세상,서울특별시 서대문구 북가좌동 144번지,1,1,1,1,0,1,1,0,1
DMC갤러리아,서울특별시 서대문구 북가좌동 330-6번지,0,0,0,0,1,0,0,0,0
DMC센트럴아이파크,서울특별시 서대문구 남가좌동 369-10번지,1,1,1,1,0,1,1,0,1
E-아름다운세상,서울특별시 성동구 성수동2가 280-31번지,0,0,1,0,0,0,0,0,0
H House 대림 뉴스테이,서울특별시 영등포구 대림동 994-1번지,0,0,0,0,1,0,0,0,1
K HILLS,서울특별시 강남구 논현동 130-9번지,1,0,0,0,0,1,1,0,0
LH도시형생활주택,서울특별시 강남구 세곡동 블록,0,0,1,0,0,0,0,0,1
LH아파트,서울특별시 강남구 세곡동 블록,1,1,1,1,0,0,1,0,1
Mapo The Classy,서울특별시 마포구 아현동 662번지,0,1,1,1,0,0,0,0,1
NINE ONE Hannam,서울특별시 용산구 한남동 680-1번지,0,1,1,1,0,0,0,0,0
SH 아파트,서울특별시 강서구 마곡동 블록,0,1,1,1,0,0,0,0,1
SH도시형생활주택(1),서울특별시 구로구 천왕동 블록,0,0,0,0,0,0,0,0,1
SH아파트,서울특별시 강동구 상일동 산2-3번지,1,1,1,1,1,1,1,0,1
SH아파트 6BL,서울특별시 강서구 마곡동 블록,1,0,1,1,0,0,1,0,1
SH아파트 8BL,서울특별시 강서구 마곡동 블록,1,0,1,1,0,0,1,0,1
SH아파트(10-1BL),서울특별시 강서구 마곡동 블록,1,1,1,1,0,0,1,0,1
SH아파트(11BL),서울특별시 강서구 마곡동 블록,0,1,1,1,0,0,0,0,1
SUITE HILL,서울특별시 서초구 서초동 1622-9번지,0,0,0,0,0,0,0,0,1
TRIZIUM 980,서울특별시 강서구 화곡동 980-26번지,0,0,0,0,1,0,0,0,0
dk182,서울특별시 강서구 화곡동 1128-5번지,0,0,0,0,0,1,0,0,0
e편한세상 강동에코포레,서울특별시 강동구 길동 43번지,0,1,1,1,0,0,0,0,1
e편한세상 고덕 어반브릿지,서울특별시 강동구 상일동 554-38번지,1,0,1,1,0,0,1,0,1
e편한세상 광진 그랜드파크,서울특별시 광진구 구의동 680번지,0,1,1,1,0,0,0,0,0
e편한세상 마포3차,서울특별시 마포구 용강동 91-1번지,0,0,1,1,0,1,0,0,1
e편한세상 보문,서울특별시 성북구 보문동3가 225번지,0,1,1,1,0,0,0,0,1
e편한세상 서대문,서울특별시 서대문구 홍은동 104-4번지,0,1,1,1,0,0,0,0,1
e편한세상 신촌,서울특별시 서대문구 북아현동 149-1번지,1,1,1,1,0,0,1,0,1
e편한세상 염창,서울특별시 강서구 염창동 277-24번지,0,1,1,0,0,0,0,0,1
e편한세상 영등포 아델포레,서울특별시 영등포구 대림동 917-49번지,1,1,1,1,0,0,1,0,1
e편한세상 화랑대,서울특별시 중랑구 묵동 81-17번지,0,1,1,1,0,0,0,0,1
가락1차 현대아파트 재건축 정비사업,서울특별시 송파구 문정동 3번지,1,1,1,1,0,0,1,0,1
가락동171-5 가로주택 정비사업,서울특별시 송파구 가락동 171-5번지,1,0,0,0,0,1,1,0,1
가락미륭아파트 재건축정비사업,서울특별시 송파구 가락동 138번지,1,1,1,1,1,1,1,1,1
가락현대5차 소규모 재건축 정비사업,서울특별시 송파구 가락동 161-3번지,1,1,1,1,0,0,1,0,1
가양동 1457-1번지 도시형생활주택,서울특별시 강서구 가양동 1457-1번지,0,0,0,0,0,0,0,0,1
가재울센트레빌아파트,서울특별시 서대문구 남가좌동 381번지,0,0,1,0,0,0,0,0,1
갈현동 도시형생활주택,서울특별시 은평구 갈현동 481-20번지,0,0,0,0,0,0,0,0,1
강남 더샵 포레스트,서울특별시 강남구 수서동 537번지,1,1,1,1,0,0,1,0,1
강남 효성해링턴 코트,서울특별시 강남구 세곡동 541번지,0,0,1,0,0,0,0,0,1
강남데시앙포레,서울특별시 강남구 수서동 블록,0,0,0,0,0,0,0,0,1
강남센트럴아이파크,서울특별시 강남구 역삼동 712-3번지,1,1,1,1,0,0,1,0,1
강남한양수자인,서울특별시 강남구 율현동 블록,1,1,1,1,1,0,1,0,1
강동 밀레니얼 중흥S-클래스,서울특별시 강동구 천호동 423-200번지,0,0,1,1,0,0,0,0,1
"강동구 천호동 50-10, 14 도시형 생활주택(아파트형 주택)",서울특별시 강동구 천호동 50-14번지,0,0,0,0,0,0,0,0,1
강동리버스타운,서울특별시 강동구 천호동 385-1번지,0,0,0,0,0,0,0,1,0
강동리버스트8단지,서울특별시 강동구 강일동 66번지,1,1,1,1,0,1,1,0,1
강동리엔파크9단지,서울특별시 강동구 강일동 산22-36번지,1,1,1,1,0,1,1,0,1
강동헤리티지자이,서울특별시 강동구 길동 160번지,1,0,1,1,0,0,1,0,1
강북3 재정비촉진구역 재개발 정비사업,서울특별시 강북구 미아동 45-32번지,0,0,1,0,0,0,0,0,0
강북구 번동 모아주택 1구역 가로주택정비사업 신축공사,서울특별시 강북구 번동 429-114번지,1,0,1,1,0,0,1,0,0
강북구 번동 모아주택 2구역 가로주택정비사업 신축공사,서울특별시 강북구 번동 429-97번지,1,0,1,1,0,0,1,0,1
강북구 번동 모아주택 3구역 가로주택정비사업 신축공사,서울특별시 강북구 번동 430-27번지,1,0,1,1,1,1,1,0,1
강북구 번동 모아주택 4구역 가로주택정비사업 신축공사	,서울특별시 강북구 번동 428-4번지,1,1,1,1,0,1,1,0,1
강북구 번동 모아주택 5구역 가로주택정비사업 신축공사,서울특별시 강북구 번동 427-63번지,1,1,1,1,1,1,1,0,0
강북구 수유동 역세권 청년주택,서울특별시 강북구 수유동 47-52번지,0,1,0,0,0,0,0,1,1
강서센트레빌3차,서울특별시 강서구 방화동 893번지,0,0,1,0,0,0,0,0,0
강서한강자이,서울특별시 강서구 가양동 1500번지,0,1,1,1,0,0,0,0,1
강서힐스테이트,서울특별시 강서구 화곡동 1165번지,0,1,1,1,0,1,0,0,1
강일2지구 1단지 아파트,서울특별시 강동구 강일동 641번지,0,0,0,0,0,0,0,0,1
강일지구 1단지아파트,서울특별시 강동구 강일동 블록,0,0,0,0,0,0,0,0,1
강일지구 4단지 아파트,서울특별시 강동구 강일동 블록,1,1,1,1,0,1,1,0,1
강일지구 5단지 아파트,서울특별시 강동구 강일동 블록,1,1,1,1,0,1,1,0,1
강일지구 9단지아파트,서울특별시 강동구 강일동 블록,1,0,1,1,0,1,1,0,1
개나리 래미안,서울특별시 강남구 역삼동 754번지,0,0,0,0,1,0,0,0,1
개나리SK뷰,서울특별시 강남구 역삼동 716-1번지,0,0,1,1,0,0,0,0,1
개봉동 403-84 도시형생활주택,서울특별시 구로구 개봉동 403-84번지,0,0,0,0,0,0,0,0,1
개봉동 역세권 청년주택,서울특별시 구로구 개봉동 403-29번지,1,1,0,0,0,0,1,0,1
개봉역 림괄지역주택조합 공동주택(가칭),서울특별시 구로구 개봉동 199-4번지,0,1,1,1,0,0,0,0,1
개봉제1주택재개발아파트,서울특별시 구로구 개봉동 138-2번지,0,0,1,1,0,0,0,0,1
개포 더샵 트리에,서울특별시 강남구 개포동 651-1번지,0,0,1,1,1,0,0,0,0
개포 럭키아파트,서울특별시 강남구 도곡동 462번지,1,0,1,1,0,0,1,1,1
개포자이 프레지던스,서울특별시 강남구 개포동 189번지,1,1,1,1,0,1,1,0,1
개포주공3단지주택재건축정비사업,서울특별시 강남구 개포동 138번지,0,0,1,0,0,0,0,0,0
거여12-1 행복주택,서울특별시 송파구 거여동 12-1번지,0,0,1,0,0,0,0,0,0
거여동 26-1번지 아파트,서울특별시 송파구 거여동 26-1번지,0,1,1,0,0,0,0,0,0
거여리본타운,서울특별시 송파구 거여동 12-1번지,0,0,1,0,0,0,0,0,0
건대입구역 역세권 청년주택,서울특별시 광진구 자양동 8-8번지,0,0,0,0,0,0,0,0,1
경남 아너스빌,서울특별시 은평구 구산동 224번지,0,0,0,0,1,0,0,0,0
경남아너스빌,서울특별시 구로구 구로동 122-1번지,0,0,1,1,0,0,0,0,0
경로당,서울특별시 강남구 개포동 12번지,0,0,0,1,0,0,0,0,0
경희궁 롯데캐슬,서울특별시 종로구 무악동 46번지,0,0,1,1,0,0,0,0,1
고덕 래미안힐스테이트,서울특별시 강동구 고덕동 670번지,0,1,1,1,0,0,0,0,1
고덕 롯데캐슬 베네루체,서울특별시 강동구 상일동 187번지,1,1,1,1,0,1,1,0,0
고덕 센트럴 푸르지오,서울특별시 강동구 고덕동 210-1번지,1,1,1,1,0,0,1,0,0
고덕리엔파크1단지,서울특별시 강동구 강일동 707번지,0,0,0,0,0,0,0,0,1
고덕센트럴 IPARK,서울특별시 강동구 상일동 131번지,1,1,1,1,0,0,1,0,0
고덕숲 IPRAK,서울특별시 강동구 상일동 164번지,1,1,1,1,0,0,1,0,0
고척3구역 주택재개발 아파트,서울특별시 구로구 고척동 155-2번지,0,1,1,1,0,0,0,0,1
