대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리주택대장PK,건물명,특수지명,블록,복리분양시설종류코드,복리분양시설종류코드명,기타시설,용도코드,용도코드명,기타용도,면적(㎡),개소
서울특별시 강남구 역삼동 653-4번지,11680,10100,0,653,4,1.02E+12,원에디션 강남,,,5099,기타시설,커뮤니티라운지,2005,부대시설,,297.9054,1
서울특별시 강남구 역삼동 653-4번지,11680,10100,0,653,4,1.02E+12,원에디션 강남,,,5099,기타시설,게스트하우스,2005,부대시설,,114.678,4
서울특별시 강남구 역삼동 654번지,11680,10100,0,654,0,1.02E+12,시티프라디움 더 강남 201동,,,90000,기타복리시설,근린생활시설,2006,복리시설,,110.68,1
서울특별시 강남구 역삼동 654-4번지,11680,10100,0,654,4,1.02E+12,시티프라디움 더 강남 101동,,,90000,기타복리시설,근린생활시설,2006,복리시설,,493.35,1
서울특별시 강남구 역삼동 712-3번지,11680,10100,0,712,3,1.02E+12,강남센트럴아이파크,,,,,경로당,2006,복리시설,,196.4,1
서울특별시 강남구 역삼동 712-3번지,11680,10100,0,712,3,1.02E+12,강남센트럴아이파크,,,,,보육시설,2006,복리시설,어린이집,422.18,1
서울특별시 강남구 역삼동 712-3번지,11680,10100,0,712,3,1.02E+12,강남센트럴아이파크,,,,,문고,2006,복리시설,작은도서관,526.453,1
서울특별시 강남구 역삼동 712-3번지,11680,10100,0,712,3,1.02E+12,강남센트럴아이파크,,,,,지역공동체 지원센터,2006,복리시설,,620.085,1
서울특별시 강남구 역삼동 712-3번지,11680,10100,0,712,3,1.02E+12,강남센트럴아이파크,,,1000,어린이놀이터,,2006,복리시설,,799.26,1
서울특별시 강남구 역삼동 712-3번지,11680,10100,0,712,3,1.02E+12,강남센트럴아이파크,,,,,주민운동시설,2006,복리시설,,1194.416,4
서울특별시 강남구 역삼동 716-1번지,11680,10100,0,716,1,1.02E+12,역삼개나리5차아파트,,,1000,어린이놀이터,,2006,복리시설,,466.488,1
서울특별시 강남구 역삼동 716-1번지,11680,10100,0,716,1,1.02E+12,역삼개나리5차아파트,,,6000,노인정,,2006,복리시설,,108.57,1
서울특별시 강남구 역삼동 716-1번지,11680,10100,0,716,1,1.02E+12,역삼개나리5차아파트,,,2099,기타집회장,,2006,복리시설,,2239.83,0
서울특별시 강남구 역삼동 716-1번지,11680,10100,0,716,1,1.02E+12,개나리SK뷰,,,6000,노인정,,2006,복리시설,,108.57,0
서울특별시 강남구 역삼동 716-1번지,11680,10100,0,716,1,1.02E+12,개나리SK뷰,,,90000,기타복리시설,주민공동시설,2006,복리시설,,2239.83,0
서울특별시 강남구 역삼동 716-1번지,11680,10100,0,716,1,1.02E+12,개나리SK뷰,,,1000,어린이놀이터,,2006,복리시설,,466.488,0
서울특별시 강남구 역삼동 727-2번지,11680,10100,0,727,2,1.02E+12,대명벨리온,,,90000,기타복리시설,,2005,부대시설,방재실/통신실,30.09,0
서울특별시 강남구 역삼동 727-2번지,11680,10100,0,727,2,1.02E+12,대명벨리온,,,2099,기타집회장,,2005,부대시설,주민공동시설,33.15,0
서울특별시 강남구 역삼동 754번지,11680,10100,0,754,0,1024215,개나리 래미안,,,2001,회의장,,2001,아파트,보육시설,0,0
서울특별시 강남구 역삼동 754번지,11680,10100,0,754,0,1024215,개나리 래미안,,,2002,공회장,,2002,연립주택,주민공동시설,133.42,1
서울특별시 강남구 역삼동 762번지,11680,10100,0,762,0,1.02E+12,래미인 그레이튼,,,,,옥외 쓰레기 수거함,2006,복리시설,,0,5
서울특별시 강남구 역삼동 762번지,11680,10100,0,762,0,1.02E+12,래미인 그레이튼,,,1000,어린이놀이터,,2006,복리시설,,769.39,1
서울특별시 강남구 역삼동 762번지,11680,10100,0,762,0,1.02E+12,래미인 그레이튼,,,5002,녹지시설,,2006,복리시설,,9811.25,0
서울특별시 강남구 역삼동 762번지,11680,10100,0,762,0,1.02E+12,래미인 그레이튼,,,90000,기타복리시설,경비실,2006,복리시설,,31.02,3
서울특별시 강남구 역삼동 762번지,11680,10100,0,762,0,1.02E+12,래미인 그레이튼,,,3099,기타운동장,주민운동시설,2006,복리시설,,744.97,1
서울특별시 강남구 역삼동 762번지,11680,10100,0,762,0,1.02E+12,래미인 그레이튼,,,2099,기타집회장,,2006,복리시설,,175.83,3
서울특별시 강남구 역삼동 762번지,11680,10100,0,762,0,1.02E+12,래미인 그레이튼,,,6000,노인정,,2006,복리시설,,72.24,1
서울특별시 강남구 역삼동 762번지,11680,10100,0,762,0,1.02E+12,래미인 그레이튼,,,7199,기타구매시설,문고,2006,복리시설,,136.89,1
서울특별시 강남구 역삼동 762-1번지,11680,10100,0,762,1,1024235,진달래아파트2차(가칭),,,1000,어린이놀이터,,2005,부대시설,어린이놀이터,674.42,1
서울특별시 강남구 역삼동 762-1번지,11680,10100,0,762,1,1024235,진달래아파트2차(가칭),,,5002,녹지시설,,2005,부대시설,녹지시설,7922.11,0
서울특별시 강남구 역삼동 762-1번지,11680,10100,0,762,1,1024235,진달래아파트2차(가칭),,,10001,옥내운동시설,,2005,부대시설,,711.16,1
서울특별시 강남구 역삼동 762-1번지,11680,10100,0,762,1,1024235,진달래아파트2차(가칭),,,11099,기타아동관련시설,보육시설,2005,부대시설,보육시설,99.36,1
서울특별시 강남구 역삼동 762-1번지,11680,10100,0,762,1,1024235,진달래아파트2차(가칭),,,6000,노인정,경로당,2005,부대시설,경로당,72.24,1
서울특별시 강남구 역삼동 765-13번지,11680,10100,0,765,13,1024221,역삼2차아이파크,,,6000,노인정,,2001,아파트,경로당,30.695,1
서울특별시 강남구 역삼동 765-13번지,11680,10100,0,765,13,1024221,역삼2차아이파크,,,1000,어린이놀이터,,2001,아파트,,429.8,1
서울특별시 강남구 역삼동 765-15번지,11680,10100,0,765,15,1.02E+12,역삼동 레전드힐,,,2099,기타집회장,주민공동시설,2006,복리시설,,27.9,1
서울특별시 강남구 역삼동 792-7번지,11680,10100,0,792,7,1.02E+12,마이플레이스,,,5099,기타시설,주민공동시설,2003,다세대주택,단지형다세대,59.24,1
서울특별시 강남구 역삼동 792-7번지,11680,10100,0,792,7,1.02E+12,마이플레이스,,,5099,기타시설,관리실,2003,다세대주택,단지형다세대,23.24,1
서울특별시 강남구 역삼동 828-2번지,11680,10100,0,828,2,1.00E+21,역삼청년주택,,,90000,기타복리시설,,2006,복리시설,계절창고,409.3168,8
서울특별시 강남구 역삼동 828-2번지,11680,10100,0,828,2,1.00E+21,역삼청년주택,,,90000,기타복리시설,,2006,복리시설,맘스카페,74.9882,1
서울특별시 강남구 역삼동 828-2번지,11680,10100,0,828,2,1.00E+21,역삼청년주택,,,90000,기타복리시설,,2006,복리시설,작은도서관,179.9917,1
