구,동,전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인이상세대
강남구,개포동,35453.0,9452.0,8656.0,8436.0,7097.0,1411.0,298.0,69.0,23.0,8.0,3.0
강남구,논현동,24677.0,15808.0,4321.0,2452.0,1562.0,370.0,112.0,30.0,13.0,7.0,2.0
강남구,대치동,30168.0,8382.0,5352.0,6796.0,7715.0,1505.0,312.0,72.0,21.0,12.0,1.0
강남구,도곡동,19655.0,4770.0,4115.0,4860.0,4701.0,917.0,218.0,51.0,14.0,5.0,4.0
강남구,삼성동,19022.0,8026.0,3702.0,3396.0,3023.0,627.0,172.0,54.0,16.0,4.0,2.0
강남구,세곡동,5506.0,1409.0,1541.0,1179.0,977.0,308.0,67.0,18.0,5.0,2.0,0.0
강남구,수서동,10599.0,4802.0,2819.0,1609.0,1072.0,239.0,43.0,10.0,3.0,0.0,2.0
강남구,신사동,5627.0,3123.0,1063.0,683.0,548.0,148.0,47.0,8.0,2.0,3.0,2.0
강남구,압구정동,11006.0,2081.0,2939.0,2830.0,2372.0,563.0,156.0,33.0,20.0,8.0,4.0
강남구,역삼동,39460.0,24270.0,5699.0,4551.0,3965.0,740.0,163.0,46.0,18.0,4.0,4.0
강남구,율현동,1669.0,592.0,434.0,344.0,216.0,61.0,18.0,3.0,1.0,0.0,0.0
강남구,일원동,18557.0,5037.0,4323.0,4171.0,3994.0,824.0,162.0,29.0,13.0,4.0,0.0
강남구,자곡동,13147.0,5847.0,2700.0,2086.0,1852.0,524.0,108.0,23.0,6.0,0.0,1.0
강남구,청담동,10548.0,4173.0,2247.0,1973.0,1602.0,386.0,115.0,42.0,6.0,0.0,4.0
강동구,강일동,13810.0,3771.0,3695.0,2946.0,2544.0,721.0,113.0,15.0,3.0,2.0,0.0
강동구,고덕동,17896.0,3829.0,3892.0,4592.0,4565.0,824.0,147.0,30.0,9.0,4.0,4.0
강동구,길동,23493.0,10844.0,5545.0,3803.0,2552.0,565.0,129.0,43.0,9.0,1.0,2.0
강동구,둔촌동,15038.0,4571.0,4155.0,3243.0,2526.0,432.0,85.0,21.0,3.0,1.0,1.0
강동구,명일동,16394.0,4450.0,3941.0,3750.0,3420.0,661.0,129.0,26.0,9.0,5.0,3.0
강동구,상일동,18898.0,3752.0,4176.0,4800.0,4911.0,1032.0,179.0,33.0,7.0,4.0,4.0
강동구,성내동,32563.0,15474.0,7585.0,5196.0,3385.0,694.0,163.0,49.0,12.0,4.0,1.0
강동구,암사동,28385.0,10011.0,7213.0,5722.0,4327.0,858.0,184.0,50.0,13.0,4.0,3.0
강동구,천호동,46108.0,23974.0,10777.0,6430.0,3855.0,802.0,195.0,48.0,20.0,5.0,2.0
강북구,미아동,60812.0,26900.0,14645.0,10111.0,7200.0,1539.0,315.0,69.0,24.0,4.0,5.0
강북구,번동,24702.0,12152.0,6417.0,3470.0,2060.0,474.0,105.0,16.0,3.0,1.0,4.0
강북구,수유동,52248.0,25781.0,12867.0,7678.0,4508.0,1070.0,268.0,47.0,14.0,5.0,10.0
강북구,우이동,5301.0,2385.0,1431.0,817.0,511.0,119.0,29.0,7.0,2.0,0.0,0.0
강서구,가양동,22269.0,11008.0,5832.0,3179.0,1751.0,370.0,90.0,32.0,4.0,2.0,1.0
강서구,개화동,789.0,383.0,213.0,88.0,78.0,19.0,5.0,2.0,0.0,0.0,1.0
강서구,공항동,9979.0,5796.0,2161.0,1155.0,658.0,150.0,44.0,13.0,2.0,0.0,0.0
강서구,과해동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강서구,내발산동,17154.0,4344.0,4166.0,3978.0,3770.0,732.0,128.0,29.0,6.0,1.0,0.0
강서구,등촌동,38534.0,19590.0,8747.0,5508.0,3715.0,750.0,160.0,41.0,18.0,3.0,2.0
강서구,마곡동,28873.0,14026.0,4841.0,4448.0,4273.0,1056.0,181.0,38.0,7.0,2.0,1.0
강서구,방화동,31300.0,15036.0,7698.0,4678.0,2999.0,669.0,180.0,21.0,18.0,0.0,1.0
강서구,염창동,16650.0,5108.0,3569.0,3865.0,3427.0,559.0,93.0,24.0,4.0,1.0,0.0
강서구,오곡동,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강서구,오쇠동,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강서구,외발산동,518.0,274.0,126.0,71.0,36.0,8.0,1.0,2.0,0.0,0.0,0.0
강서구,화곡동,107821.0,51353.0,25927.0,16409.0,10962.0,2458.0,504.0,146.0,39.0,17.0,6.0
관악구,남현동,9910.0,5807.0,1954.0,1162.0,765.0,159.0,44.0,14.0,3.0,1.0,1.0
관악구,봉천동,127594.0,77901.0,23343.0,13866.0,9730.0,2126.0,462.0,120.0,28.0,15.0,3.0
관악구,신림동,148459.0,96718.0,26268.0,14063.0,8776.0,2025.0,472.0,95.0,31.0,6.0,5.0
광진구,광장동,11863.0,2345.0,2130.0,3287.0,3399.0,548.0,106.0,35.0,12.0,1.0,0.0
광진구,구의동,36702.0,16694.0,8147.0,6151.0,4475.0,956.0,211.0,43.0,15.0,3.0,7.0
광진구,군자동,11223.0,7056.0,2037.0,1207.0,724.0,140.0,39.0,14.0,4.0,2.0,0.0
광진구,능동,6452.0,3957.0,1279.0,665.0,414.0,93.0,36.0,8.0,0.0,0.0,0.0
광진구,자양동,44985.0,20650.0,10300.0,7421.0,5228.0,1060.0,237.0,62.0,22.0,3.0,2.0
광진구,중곡동,40695.0,20211.0,9841.0,5906.0,3672.0,822.0,185.0,46.0,7.0,3.0,2.0
광진구,화양동,18011.0,14938.0,1906.0,674.0,397.0,66.0,24.0,5.0,0.0,0.0,1.0
구로구,가리봉동,6025.0,4387.0,997.0,399.0,199.0,32.0,6.0,4.0,0.0,0.0,1.0
구로구,개봉동,35932.0,12030.0,10258.0,7462.0,4756.0,1073.0,251.0,74.0,20.0,6.0,2.0
구로구,고척동,23066.0,8151.0,6255.0,4500.0,3312.0,658.0,148.0,31.0,6.0,2.0,3.0
구로구,구로동,60012.0,31424.0,13351.0,8356.0,5381.0,1155.0,258.0,65.0,12.0,5.0,5.0
구로구,궁동,6231.0,2264.0,1739.0,1180.0,779.0,204.0,52.0,8.0,5.0,0.0,0.0
구로구,신도림동,14405.0,4080.0,3413.0,3374.0,2903.0,491.0,114.0,20.0,8.0,2.0,0.0
구로구,오류동,21933.0,10667.0,5168.0,3349.0,2149.0,452.0,101.0,35.0,8.0,1.0,3.0
구로구,온수동,3757.0,1207.0,1156.0,735.0,500.0,118.0,31.0,7.0,3.0,0.0,0.0
구로구,천왕동,6287.0,1782.0,1736.0,1143.0,1176.0,358.0,78.0,9.0,4.0,0.0,1.0
구로구,항동,6243.0,1668.0,1376.0,1469.0,1377.0,296.0,45.0,10.0,2.0,0.0,0.0
