연도,구,동,총인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
2023,강남구,개포동,74538.0,5330.0,7557.0,8266.0,10342.0,12406.0,11929.0,10533.0,6057.0,1843.0,267.0,8.0
2024,강남구,개포동,89148.0,6667.0,9633.0,9291.0,12270.0,15347.0,14095.0,12049.0,7260.0,2188.0,335.0,13.0
2025,강남구,개포동,88890.0,6531.0,9823.0,8791.0,11955.0,15324.0,13959.0,11954.0,7822.0,2355.0,360.0,16.0
2023,강남구,논현동,40435.0,1405.0,2024.0,6966.0,9144.0,6970.0,5574.0,4196.0,2811.0,1163.0,177.0,5.0
2024,강남구,논현동,39937.0,1299.0,2002.0,6530.0,9084.0,6938.0,5599.0,4162.0,2857.0,1270.0,187.0,9.0
2025,강남구,논현동,39709.0,1270.0,1998.0,6063.0,9179.0,6908.0,5683.0,4126.0,2951.0,1337.0,187.0,7.0
2023,강남구,대치동,80040.0,4317.0,14257.0,9189.0,7637.0,15938.0,13986.0,8084.0,4833.0,1571.0,225.0,3.0
2024,강남구,대치동,79844.0,4291.0,14425.0,8671.0,7567.0,16066.0,13901.0,7984.0,5032.0,1668.0,236.0,3.0
2025,강남구,대치동,79549.0,4117.0,14500.0,8300.0,7450.0,15841.0,14098.0,7883.0,5312.0,1794.0,248.0,6.0
2023,강남구,도곡동,52609.0,3813.0,7174.0,5948.0,5739.0,9660.0,8758.0,6068.0,3761.0,1447.0,236.0,5.0
2024,강남구,도곡동,52224.0,3697.0,7069.0,5718.0,5714.0,9555.0,8675.0,6077.0,3933.0,1542.0,241.0,3.0
2025,강남구,도곡동,52223.0,3554.0,7137.0,5527.0,5731.0,9506.0,8563.0,6028.0,4242.0,1650.0,280.0,5.0
2023,강남구,삼성동,42062.0,2634.0,4638.0,5349.0,6274.0,7924.0,6870.0,4165.0,2872.0,1186.0,146.0,4.0
2024,강남구,삼성동,41719.0,2462.0,4583.0,5157.0,6341.0,7705.0,6919.0,4156.0,2927.0,1306.0,159.0,4.0
2025,강남구,삼성동,42326.0,2342.0,4580.0,5164.0,6289.0,7635.0,7196.0,4349.0,3168.0,1425.0,174.0,4.0
2023,강남구,세곡동,14338.0,1014.0,1621.0,1562.0,1922.0,2409.0,2301.0,1810.0,1031.0,568.0,97.0,3.0
2024,강남구,세곡동,14022.0,934.0,1529.0,1513.0,1866.0,2252.0,2275.0,1856.0,1105.0,586.0,103.0,3.0
2025,강남구,세곡동,13886.0,907.0,1446.0,1487.0,1874.0,2146.0,2261.0,1878.0,1179.0,595.0,110.0,3.0
2023,강남구,수서동,21678.0,1185.0,1498.0,1824.0,2976.0,3122.0,3007.0,4107.0,2734.0,1014.0,203.0,8.0
