구,단지수,운동시설_보급률,교육_학습시설_보급률,키즈시설_보급률,시니어시설_보급률,공유오피스_회의_보급률,라운지_휴게_보급률,카페수_평균,헬스장수_평균,학원수_평균,기타학원수_평균,독서실수_평균,사우나수_평균,운동시설_보급률_pct,교육_학습시설_보급률_pct,키즈시설_보급률_pct,시니어시설_보급률_pct,공유오피스_회의_보급률_pct,라운지_휴게_보급률_pct,가족친화지수,선택형시설지수,운동복지지수
강남구,66,0.3787878787878788,0.2727272727272727,0.4696969696969697,0.4393939393939394,0.13636363636363635,0.10606060606060606,244.0,58.5,358.8,323.9,43.2,4.8,37.9,27.3,47.0,43.9,13.6,10.6,37.2,12.1,37.9
강동구,54,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.4444444444444444,0.05555555555555555,0.07407407407407407,94.1,20.3,93.2,122.0,11.1,2.0,33.3,33.3,55.6,44.4,5.6,7.4,44.4,6.5,33.3
강북구,29,0.4827586206896552,0.27586206896551724,0.6206896551724138,0.5172413793103449,0.2413793103448276,0.10344827586206896,128.0,25.0,101.8,139.1,15.8,6.0,48.3,27.6,62.1,51.7,24.1,10.3,44.8,17.2,48.3
강서구,61,0.21311475409836064,0.2459016393442623,0.47540983606557374,0.3114754098360656,0.21311475409836064,0.13114754098360656,134.2,30.6,112.5,157.8,13.3,5.1,21.3,24.6,47.5,31.1,21.3,13.1,36.0,17.2,21.3
관악구,24,0.25,0.25,0.3333333333333333,0.25,0.4166666666666667,0.08333333333333333,346.5,91.4,281.4,423.4,108.6,9.5,25.0,25.0,33.3,25.0,41.7,8.3,29.2,25.0,25.0
광진구,26,0.23076923076923078,0.23076923076923078,0.46153846153846156,0.38461538461538464,0.19230769230769232,0.07692307692307693,156.0,30.0,107.2,180.8,21.2,4.6,23.1,23.1,46.2,38.5,19.2,7.7,34.7,13.4,23.1
구로구,62,0.22580645161290322,0.20967741935483872,0.532258064516129,0.3709677419354839,0.12903225806451613,0.14516129032258066,104.7,19.9,64.3,114.6,9.9,3.3,22.6,21.0,53.2,37.1,12.9,14.5,37.1,13.7,22.6
금천구,14,0.0,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.07142857142857142,129.5,26.5,84.5,149.0,15.0,6.0,0.0,14.3,14.3,21.4,28.6,7.1,14.3,17.8,0.0
노원구,70,0.34285714285714286,0.21428571428571427,0.5142857142857142,0.2714285714285714,0.08571428571428572,0.24285714285714285,145.7,33.1,242.3,210.8,28.3,3.8,34.3,21.4,51.4,27.1,8.6,24.3,36.4,16.4,34.3
도봉구,35,0.22857142857142856,0.08571428571428572,0.22857142857142856,0.17142857142857143,0.14285714285714285,0.37142857142857144,94.0,22.4,108.9,119.5,16.9,4.6,22.9,8.6,22.9,17.1,14.3,37.1,15.8,25.7,22.9
동대문구,43,0.3953488372093023,0.4418604651162791,0.627906976744186,0.5116279069767442,0.09302325581395349,0.27906976744186046,75.9,17.5,70.0,81.9,9.8,2.2,39.5,44.2,62.8,51.2,9.3,27.9,53.5,18.6,39.5
동작구,61,0.3442622950819672,0.4098360655737705,0.5901639344262295,0.6229508196721312,0.16393442622950818,0.09836065573770492,99.6,20.5,92.6,132.8,23.1,2.8,34.4,41.0,59.0,62.3,16.4,9.8,50.0,13.1,34.4
마포구,39,0.28205128205128205,0.3333333333333333,0.6666666666666666,0.48717948717948717,0.10256410256410256,0.15384615384615385,79.7,12.8,43.3,67.9,3.9,1.0,28.2,33.3,66.7,48.7,10.3,15.4,50.0,12.8,28.2
서대문구,37,0.3783783783783784,0.32432432432432434,0.5945945945945946,0.5405405405405406,0.24324324324324326,0.24324324324324326,56.5,9.1,64.1,63.5,9.1,1.1,37.8,32.4,59.5,54.1,24.3,24.3,46.0,24.3,37.8
서초구,83,0.42168674698795183,0.37349397590361444,0.5783132530120482,0.5421686746987951,0.2289156626506024,0.20481927710843373,238.2,67.1,243.3,398.8,24.4,5.1,42.2,37.3,57.8,54.2,22.9,20.5,47.6,21.7,42.2
성동구,44,0.2727272727272727,0.29545454545454547,0.5681818181818182,0.5227272727272727,0.045454545454545456,0.06818181818181818,62.0,9.6,27.8,59.4,3.7,0.9,27.3,29.5,56.8,52.3,4.5,6.8,43.2,5.6,27.3
성북구,60,0.4666666666666667,0.45,0.6333333333333333,0.6,0.2833333333333333,0.2,51.4,9.8,65.2,68.4,8.4,2.1,46.7,45.0,63.3,60.0,28.3,20.0,54.2,24.2,46.7
송파구,66,0.30303030303030304,0.3787878787878788,0.5303030303030303,0.42424242424242425,0.24242424242424243,0.16666666666666666,91.8,22.4,91.7,127.0,12.9,2.0,30.3,37.9,53.0,42.4,24.2,16.7,45.4,20.4,30.3
양천구,36,0.3611111111111111,0.3333333333333333,0.7777777777777778,0.6388888888888888,0.19444444444444445,0.08333333333333333,155.3,35.6,320.6,275.4,33.4,6.8,36.1,33.3,77.8,63.9,19.4,8.3,55.6,13.8,36.1
영등포구,53,0.41509433962264153,0.37735849056603776,0.6792452830188679,0.5094339622641509,0.09433962264150944,0.1509433962264151,70.4,15.6,48.5,83.5,6.5,1.9,41.5,37.7,67.9,50.9,9.4,15.1,52.8,12.2,41.5
용산구,23,0.43478260869565216,0.5217391304347826,0.7391304347826086,0.5652173913043478,0.17391304347826086,0.13043478260869565,36.7,6.7,14.0,35.0,1.7,0.7,43.5,52.2,73.9,56.5,17.4,13.0,63.0,15.2,43.5
